arm,loss,level_weighted,variant,fold_id,test_year,covers_covid,headline,seed,best_epoch,ensemble,mae,rmse,peak_mae,peak_cells,cells
quantile,quantile,True,v1,8,2024,False,True,2,4.0,False,10.196720123291016,20.198772430419922,24.666004180908203,145,1300
quantile,quantile,True,v1,8,2024,False,True,-1,9.333333333333334,True,10.09731388092041,19.918216705322266,24.14330291748047,145,1300
baseline,mse,False,v1,9,2025,False,True,0,13.0,False,8.862879753112793,15.382149696350098,16.85619354248047,103,1300
baseline,mse,False,v1,9,2025,False,True,1,17.0,False,9.058110237121582,15.932122230529785,17.457448959350586,103,1300
baseline,mse,False,v1,9,2025,False,True,2,26.0,False,9.01138973236084,15.970937728881836,17.707805633544922,103,1300
baseline,mse,False,v1,9,2025,False,True,-1,18.666666666666668,True,8.932760238647461,15.639095306396484,17.1726131439209,103,1300
huber,huber,False,v1,9,2025,False,True,0,21.0,False,8.942083358764648,15.638212203979492,17.628459930419922,103,1300
huber,huber,False,v1,9,2025,False,True,1,20.0,False,8.818257331848145,15.418166160583496,16.26691436767578,103,1300
huber,huber,False,v1,9,2025,False,True,2,32.0,False,8.987204551696777,15.715892791748047,17.483850479125977,103,1300
huber,huber,False,v1,9,2025,False,True,-1,24.333333333333332,True,8.866690635681152,15.4522066116333,17.073823928833008,103,1300
level_weighted,mse,True,v1,9,2025,False,True,0,21.0,False,9.025995254516602,15.852569580078125,18.699975967407227,103,1300
level_weighted,mse,True,v1,9,2025,False,True,1,14.0,False,9.123559951782227,15.871270179748535,18.210968017578125,103,1300
level_weighted,mse,True,v1,9,2025,False,True,2,24.0,False,9.228468894958496,16.156734466552734,19.891952514648438,103,1300
level_weighted,mse,True,v1,9,2025,False,True,-1,19.666666666666668,True,9.0808744430542,15.840738296508789,18.896583557128906,103,1300
huber_weighted,huber,True,v1,9,2025,False,True,0,13.0,False,8.943960189819336,15.523847579956055,17.36408805847168,103,1300
huber_weighted,huber,True,v1,9,2025,False,True,1,35.0,False,8.749639511108398,15.113348007202148,16.64667510986328,103,1300
huber_weighted,huber,True,v1,9,2025,False,True,2,19.0,False,8.97542953491211,15.541228294372559,17.418527603149414,103,1300
huber_weighted,huber,True,v1,9,2025,False,True,-1,22.333333333333332,True,8.861973762512207,15.304349899291992,17.06815528869629,103,1300
quantile,quantile,True,v1,9,2025,False,True,0,12.0,False,8.941957473754883,15.387171745300293,17.054365158081055,103,1300
quantile,quantile,True,v1,9,2025,False,True,1,2.0,False,8.898408889770508,15.376910209655762,16.588926315307617,103,1300
quantile,quantile,True,v1,9,2025,False,True,2,10.0,False,8.903423309326172,15.405900955200195,16.712270736694336,103,1300
quantile,quantile,True,v1,9,2025,False,True,-1,8.0,True,8.88512134552002,15.320889472961426,16.68329429626465,103,1300
